team_logo;team_name;gamesPlayed;wins;losses;otLosses;team_points;pointPctg;goalFor;goalAgainst;homeGamesPlayed;homeWins;homeLosses;homeOtLosses;homeGoalsFor;roadGamesPlayed;roadWins;roadLosses;roadOtLosses;roadGoalsFor
https://assets.nhle.com/logos/nhl/svg/FLA_light.svg;Florida Panthers;82;58;18;6;122;0.743902;340;246;41;34;7;0;192;41;24;11;6;148
https://assets.nhle.com/logos/nhl/svg/COL_light.svg;Colorado Avalanche;82;56;19;7;119;0.72561;312;234;41;32;5;4;172;41;24;14;3;140
https://assets.nhle.com/logos/nhl/svg/CAR_light.svg;Carolina Hurricanes;82;54;20;8;116;0.707317;278;202;41;29;8;4;135;41;25;12;4;143
https://assets.nhle.com/logos/nhl/svg/TOR_light.svg;Toronto Maple Leafs;82;54;21;7;115;0.70122;315;253;41;31;8;2;154;41;23;13;5;161
https://assets.nhle.com/logos/nhl/svg/MIN_light.svg;Minnesota Wild;82;53;22;7;113;0.689024;310;253;41;31;8;2;170;41;22;14;5;140
https://assets.nhle.com/logos/nhl/svg/CGY_light.svg;Calgary Flames;82;50;21;11;111;0.676829;293;208;41;25;9;7;156;41;25;12;4;137
https://assets.nhle.com/logos/nhl/svg/NYR_light.svg;New York Rangers;82;52;24;6;110;0.670732;254;207;41;27;10;4;132;41;25;14;2;122
https://assets.nhle.com/logos/nhl/svg/TBL_light.svg;Tampa Bay Lightning;82;51;23;8;110;0.670732;287;233;41;27;8;6;143;41;24;15;2;144
https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg;St. Louis Blues;82;49;22;11;109;0.664634;311;242;41;26;10;5;156;41;23;12;6;155
https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg;Boston Bruins;82;51;26;5;107;0.652439;255;220;41;26;13;2;132;41;25;13;3;123
https://assets.nhle.com/logos/nhl/svg/EDM_20172018-20212022_light.svg;Edmonton Oilers;82;49;27;6;104;0.634146;290;252;41;28;12;1;156;41;21;15;5;134
https://assets.nhle.com/logos/nhl/svg/PIT_light.svg;Pittsburgh Penguins;82;46;25;11;103;0.628049;272;229;41;23;13;5;146;41;23;12;6;126
https://assets.nhle.com/logos/nhl/svg/WSH_light.svg;Washington Capitals;82;44;26;12;100;0.609756;275;245;41;19;16;6;131;41;25;10;6;144
https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg;Los Angeles Kings;82;44;27;11;99;0.603659;239;236;41;21;16;4;122;41;23;11;7;117
https://assets.nhle.com/logos/nhl/svg/DAL_light.svg;Dallas Stars;82;46;30;6;98;0.597561;238;246;41;27;10;4;132;41;19;20;2;106
https://assets.nhle.com/logos/nhl/svg/NSH_light.svg;Nashville Predators;82;45;30;7;97;0.591463;266;252;41;25;14;2;130;41;20;16;5;136
https://assets.nhle.com/logos/nhl/svg/VGK_light.svg;Vegas Golden Knights;82;43;31;8;94;0.573171;266;248;41;22;15;4;139;41;21;16;4;127
https://assets.nhle.com/logos/nhl/svg/VAN_light.svg;Vancouver Canucks;82;40;30;12;92;0.560976;249;236;41;20;14;7;127;41;20;16;5;122
https://assets.nhle.com/logos/nhl/svg/WPG_light.svg;Winnipeg Jets;82;39;32;11;89;0.542683;252;257;41;23;15;3;141;41;16;17;8;111
https://assets.nhle.com/logos/nhl/svg/NYI_light.svg;New York Islanders;82;37;35;10;84;0.512195;231;237;41;20;16;5;120;41;17;19;5;111
https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg;Columbus Blue Jackets;82;37;38;7;81;0.493902;262;300;41;21;15;5;141;41;16;23;2;121
https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg;San Jose Sharks;82;32;37;13;77;0.469512;214;264;41;18;18;5;107;41;14;19;8;107
https://assets.nhle.com/logos/nhl/svg/ANA_20132014-20232024_light.svg;Anaheim Ducks;82;31;37;14;76;0.463415;232;271;41;17;19;5;115;41;14;18;9;117
https://assets.nhle.com/logos/nhl/svg/BUF_light.svg;Buffalo Sabres;82;32;39;11;75;0.457317;232;290;41;17;18;6;123;41;15;21;5;109
https://assets.nhle.com/logos/nhl/svg/DET_light.svg;Detroit Red Wings;82;32;40;10;74;0.45122;230;312;41;18;16;7;131;41;14;24;3;99
https://assets.nhle.com/logos/nhl/svg/OTT_light.svg;Ottawa Senators;82;33;42;7;73;0.445122;227;266;41;15;22;4;111;41;18;20;3;116
https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg;Chicago Blackhawks;82;28;42;12;68;0.414634;219;291;41;14;21;6;111;41;14;21;6;108
https://assets.nhle.com/logos/nhl/svg/NJD_light.svg;New Jersey Devils;82;27;46;9;63;0.384146;248;307;41;16;20;5;126;41;11;26;4;122
https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg;Philadelphia Flyers;82;25;46;11;61;0.371951;211;298;41;14;21;6;114;41;11;25;5;97
https://assets.nhle.com/logos/nhl/svg/SEA_light.svg;Seattle Kraken;82;27;49;6;60;0.365854;216;285;41;16;22;3;110;41;11;27;3;106
https://assets.nhle.com/logos/nhl/svg/ARI_20202021-20232024_light.svg;Arizona Coyotes;82;25;50;7;57;0.347561;207;313;41;11;27;3;103;41;14;23;4;104
https://assets.nhle.com/logos/nhl/svg/MTL_light.svg;Montréal Canadiens;82;22;49;11;55;0.335366;221;319;41;11;26;4;110;41;11;23;7;111
