playerId;skaterFullName;teamAbbrevs
8484150;Hunter Brzustewicz;CGY
8479533;Joona Koppanen;PIT
8474612;Travis Hamonic;DET
8479644;Matt Luff;STL
8477073;Kurtis MacDermid;OTT
8482206;Ethan Cardwell;SJS
8476958;Jaccob Slavin;CAR
8483728;Jared Davidson;MTL
8481599;Victor Soderstrom;BOS
8477021;Alexander Kerfoot;UTA
8484768;Zayne Parekh;CGY
8484794;Michael Brandsegg-Nygård;DET
8483424;Owen Beck;MTL
8477993;Justin Kirkland;CGY
8475752;Tyler Pitlick;MIN
8480871;Adam Boqvist;NYI
8483466;Kevin Korchinski;CHI
8479339;Patrik Laine;MTL
8477541;Dakota Mermis;TOR
8482726;Samuel Helenius;LAK
8480825;Patrick Giles;SJS
8482641;Matt Kiersted;MIN
8484262;Travis Mitchell;NYI
8477463;Steven Santini;TBL
8482168;Maxim Groshev;TBL
8477435;Ryan Graves;PIT
8485405;Brady Martin;NSH
8482785;Justin Robidas;CAR
8481065;Angus Crookshank;NJD
8480192;Johnathan Kovacevic;NJD
8476927;Teddy Blueger;VAN
8483476;Jonathan Lekkerimäki;VAN
8479576;Vincent Desharnais;SJS
8483406;Taylor Ward;LAK
8480876;Curtis Douglas;TBL
8482733;Logan Mailloux;STL
8479985;Cale Fleury;SEA
8480887;Jordan Harris;BOS
8475690;Chris Tanev;TOR
8482087;Kaiden Guhle;MTL
8477996;Juho Lammikko;NJD
8479293;Brandon Tanev;UTA
8484428;Charles Alexis Legault;CAR
8481070;Hugh McGing;STL
8481655;Cole Schwindt;FLA
8482131;Donovan Sebrango;OTT,FLA
8484305;Zach Metsa;BUF
8479026;Philippe Myers;TOR
8482964;Arber Xhekaj;MTL
8483553;Marc Gatcomb;NYI
8479402;Jake Bean;CGY
8481161;Jake Christiansen;CBJ
8478043;Sam Lafferty;CHI
8480058;Pierre-Olivier Joseph;VAN
8480245;Olle Lycksell;OTT
8484203;Bradly Nadeau;CAR
8474090;Brendan Smith;CBJ
8479368;Max Jones;EDM
8480990;Declan Chisholm;WSH
8479316;Luke Kunin;FLA
8480831;Alec Regula;EDM
8479981;Jonah Gadjovich;FLA
8481704;Juuso Parssinen;NYR
8480078;Filip Chytil;VAN
8483425;Lian Bichsel;DAL
8479393;Noah Gregor;FLA
8477070;Liam O'Brien;UTA
8483487;Rutger McGroarty;PIT
8478424;Jansen Harkins;ANA
8475181;Nick Leddy;SJS
8481725;Elmer Soderblom;DET
8477149;Scott Sabourin;TBL
8481609;Vladislav Kolyachonok;DAL,BOS
8475188;Brayden McNabb;VGK
8481167;Brayden Pachal;CGY
8480001;Urho Vaakanainen;NYR
8480879;Jacob Bernard-Docker;DET
8481556;John Beecher;BOS,CGY
8482516;Matthew Kessel;STL
8479414;Nathan Bastian;DAL
8485402;Michael Misa;SJS
8483398;Declan Carlile;TBL
8482470;Ilya Solovyov;COL
8482090;Jack Finley;TBL
8479372;Josh Mahura;SEA
8481030;Jack St. Ivany;PIT
8482859;Zack Ostapchuk;SJS
8482094;Daemon Hunt;MIN
8481219;Jonathan Aspirot;BOS
8483455;Isaac Howard;EDM
8477499;Rasmus Ristolainen;PHI
8482861;Vincent Iorio;SJS
8476856;Mathew Dumba;PIT
8478443;Brandon Carlo;TOR
8481491;Noah Philp;EDM,CAR
8478046;Danton Heinen;PIT,CBJ
8482125;Alexander Holtz;VGK
8477508;Curtis Lazar;EDM
8480144;David Kampf;VAN
8471817;Ryan Reaves;SJS
8481122;Simon Benoit;TOR
8482666;Scott Morrow;NYR
8481569;Marshall Warren;NYI
8477952;Robby Fabbri;STL
8479365;Trent Frederic;EDM
8484142;Denver Barkey;PHI
8484180;Samuel Honzek;CGY
8484321;Nikolas Matinpalo;OTT
8480842;Filip Hallander;PIT
8479944;Zach Aston-Reese;CBJ
8478840;Will Borgen;NYR
8482111;Justin Barron;NSH
8476907;Mackenzie MacEachern;VAN
8482103;Ozzy Wiesblatt;NSH
8481077;John Leonard;DET
8478841;Colton White;NJD
8477454;Adam Erne;DAL
8480084;Nick DeSimone;UTA
8481133;Cole Reinhardt;VGK
8482408;Jeff Malott;LAK
8481237;Kyle MacLean;NYI
8482172;Landon Slaggert;CHI
8481726;Adam Edstrom;NYR
8476822;Luke Glendening;NJD
8482623;Josh Dunne;BUF
8480813;Joseph Veleno;MTL
8474567;Zach Bogosian;MIN
8481641;Joel Kiviranta;COL
8476967;Brett Kulak;EDM,PIT
8482896;Tyson Kozak;BUF
8482874;Jacob Melanson;SEA
8485493;David Tomasek;EDM
8483468;Jiri Kulich;BUF
8482758;Ville Koivunen;PIT
8476867;Brendan Gaunce;CBJ
8478476;Kyle Capobianco;DAL
8475763;Kevin Hayes;PIT
8482117;Lukas Reichel;CHI,VAN
8478416;Erik Cernak;TBL
8483395;Arshdeep Bains;VAN
8474568;Luke Schenn;WPG
8483499;Liam Ohgren;MIN,VAN
8478413;Jordan Greenway;BUF
8478399;Jonas Siegenthaler;NJD
8484210;Gabe Perreault;NYR
8480878;Nils Lundkvist;DAL
8480806;Isac Lundeström;CBJ
8480196;Jacob Bryson;BUF
8484185;Nick Lardis;CHI
8484806;Sam Dickinson;SJS
8477845;Trevor van Riemsdyk;WSH
8478366;Frank Vatrano;ANA
8483676;Stephen Halliday;OTT
8475760;Nick Bjugstad;STL
8482929;Emil Lilleberg;TBL
8482148;Hendrix Lapierre;WSH
8482166;Shakir Mukhamadullin;SJS
8480727;Zach Whitecloud;VGK
8478454;Noah Juulsen;PHI
8483464;Marco Kasper;DET
8476422;Mike Reilly;CAR
8479520;Brandon Duhaime;WSH
